epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1554161573704,2019-04-01T16.32.53.704,0.000,0.022,0.120,0.989
1554161573714,2019-04-01T16.32.53.714,0.010,0.022,0.120,0.988
1554161573724,2019-04-01T16.32.53.724,0.020,0.023,0.122,0.990
1554161573735,2019-04-01T16.32.53.735,0.031,0.027,0.121,0.990
1554161573743,2019-04-01T16.32.53.743,0.039,0.024,0.122,0.990
1554161573754,2019-04-01T16.32.53.754,0.050,0.020,0.119,0.993
1554161573764,2019-04-01T16.32.53.764,0.060,0.023,0.118,0.990
1554161573774,2019-04-01T16.32.53.774,0.070,0.023,0.119,0.991
1554161573784,2019-04-01T16.32.53.784,0.080,0.022,0.120,0.991
1554161573795,2019-04-01T16.32.53.795,0.091,0.021,0.120,0.990
1554161573803,2019-04-01T16.32.53.803,0.099,0.022,0.120,0.992
1554161573814,2019-04-01T16.32.53.814,0.110,0.021,0.122,0.990
1554161573824,2019-04-01T16.32.53.824,0.120,0.024,0.122,0.993
1554161573834,2019-04-01T16.32.53.834,0.130,0.022,0.122,0.991
1554161573844,2019-04-01T16.32.53.844,0.140,0.023,0.124,0.991
1554161573855,2019-04-01T16.32.53.855,0.151,0.024,0.121,0.991
1554161573865,2019-04-01T16.32.53.865,0.161,0.024,0.122,0.991
1554161573874,2019-04-01T16.32.53.874,0.170,0.021,0.120,0.992
1554161573884,2019-04-01T16.32.53.884,0.180,0.022,0.118,0.989
1554161573894,2019-04-01T16.32.53.894,0.190,0.024,0.119,0.993
1554161573905,2019-04-01T16.32.53.905,0.201,0.022,0.120,0.992
1554161573915,2019-04-01T16.32.53.915,0.211,0.021,0.118,0.989
1554161573925,2019-04-01T16.32.53.925,0.221,0.021,0.120,0.989
1554161573934,2019-04-01T16.32.53.934,0.230,0.020,0.121,0.992
1554161573944,2019-04-01T16.32.53.944,0.240,0.020,0.120,0.991
1554161573954,2019-04-01T16.32.53.954,0.250,0.023,0.120,0.991
1554161573965,2019-04-01T16.32.53.965,0.261,0.022,0.121,0.992
1554161573975,2019-04-01T16.32.53.975,0.271,0.022,0.121,0.993
1554161573985,2019-04-01T16.32.53.985,0.281,0.024,0.121,0.993
1554161573994,2019-04-01T16.32.53.994,0.290,0.022,0.120,0.992
1554161574004,2019-04-01T16.32.54.004,0.300,0.024,0.118,0.993
1554161574014,2019-04-01T16.32.54.014,0.310,0.025,0.117,0.990
1554161574025,2019-04-01T16.32.54.025,0.321,0.023,0.122,0.988
1554161574035,2019-04-01T16.32.54.035,0.331,0.023,0.122,0.990
1554161574045,2019-04-01T16.32.54.045,0.341,0.025,0.121,0.992
1554161574055,2019-04-01T16.32.54.055,0.351,0.025,0.122,0.991
1554161574064,2019-04-01T16.32.54.064,0.360,0.022,0.120,0.991
1554161574074,2019-04-01T16.32.54.074,0.370,0.023,0.121,0.991
1554161574085,2019-04-01T16.32.54.085,0.381,0.022,0.120,0.993
1554161574095,2019-04-01T16.32.54.095,0.391,0.023,0.120,0.992
1554161574105,2019-04-01T16.32.54.105,0.401,0.026,0.121,0.990
1554161574115,2019-04-01T16.32.54.115,0.411,0.023,0.119,0.991
1554161574124,2019-04-01T16.32.54.124,0.420,0.022,0.117,0.991
1554161574135,2019-04-01T16.32.54.135,0.431,0.022,0.118,0.989
1554161574145,2019-04-01T16.32.54.145,0.441,0.023,0.120,0.991
1554161574155,2019-04-01T16.32.54.155,0.451,0.024,0.121,0.993
1554161574165,2019-04-01T16.32.54.165,0.461,0.023,0.120,0.989
1554161574176,2019-04-01T16.32.54.176,0.472,0.023,0.120,0.991
1554161574184,2019-04-01T16.32.54.184,0.480,0.022,0.120,0.991
1554161574195,2019-04-01T16.32.54.195,0.491,0.022,0.121,0.990
1554161574205,2019-04-01T16.32.54.205,0.501,0.021,0.121,0.991
1554161574215,2019-04-01T16.32.54.215,0.511,0.022,0.120,0.990
1554161574225,2019-04-01T16.32.54.225,0.521,0.022,0.120,0.989
1554161574236,2019-04-01T16.32.54.236,0.532,0.023,0.118,0.988
1554161574246,2019-04-01T16.32.54.246,0.542,0.026,0.121,0.989
1554161574255,2019-04-01T16.32.54.255,0.551,0.021,0.119,0.989
1554161574265,2019-04-01T16.32.54.265,0.561,0.021,0.121,0.991
1554161574275,2019-04-01T16.32.54.275,0.571,0.022,0.121,0.992
1554161574285,2019-04-01T16.32.54.285,0.581,0.024,0.121,0.991
1554161574296,2019-04-01T16.32.54.296,0.592,0.023,0.121,0.991
1554161574306,2019-04-01T16.32.54.306,0.602,0.022,0.119,0.993
1554161574315,2019-04-01T16.32.54.315,0.611,0.022,0.119,0.991
1554161574325,2019-04-01T16.32.54.325,0.621,0.021,0.123,0.990
1554161574335,2019-04-01T16.32.54.335,0.631,0.024,0.120,0.991
1554161574345,2019-04-01T16.32.54.345,0.641,0.022,0.121,0.990
1554161574356,2019-04-01T16.32.54.356,0.652,0.022,0.119,0.992
1554161574366,2019-04-01T16.32.54.366,0.662,0.022,0.120,0.992
1554161574375,2019-04-01T16.32.54.375,0.671,0.023,0.119,0.991
1554161574385,2019-04-01T16.32.54.385,0.681,0.023,0.119,0.992
1554161574395,2019-04-01T16.32.54.395,0.691,0.022,0.122,0.990
1554161574406,2019-04-01T16.32.54.406,0.702,0.021,0.122,0.992
1554161574416,2019-04-01T16.32.54.416,0.712,0.022,0.122,0.992
1554161574426,2019-04-01T16.32.54.426,0.722,0.023,0.120,0.993
1554161574436,2019-04-01T16.32.54.436,0.732,0.023,0.120,0.990
1554161574445,2019-04-01T16.32.54.445,0.741,0.024,0.119,0.991
1554161574455,2019-04-01T16.32.54.455,0.751,0.025,0.120,0.989
1554161574466,2019-04-01T16.32.54.466,0.762,0.024,0.120,0.991
1554161574476,2019-04-01T16.32.54.476,0.772,0.024,0.118,0.992
1554161574486,2019-04-01T16.32.54.486,0.782,0.022,0.122,0.990
1554161574496,2019-04-01T16.32.54.496,0.792,0.023,0.122,0.992
1554161574505,2019-04-01T16.32.54.505,0.801,0.021,0.120,0.991
1554161574515,2019-04-01T16.32.54.515,0.811,0.022,0.120,0.990
1554161574526,2019-04-01T16.32.54.526,0.822,0.024,0.120,0.992
1554161574536,2019-04-01T16.32.54.536,0.832,0.021,0.122,0.993
1554161574546,2019-04-01T16.32.54.546,0.842,0.024,0.120,0.993
1554161574556,2019-04-01T16.32.54.556,0.852,0.022,0.118,0.991
1554161574565,2019-04-01T16.32.54.565,0.861,0.022,0.120,0.992
1554161574575,2019-04-01T16.32.54.575,0.871,0.023,0.121,0.993
1554161574586,2019-04-01T16.32.54.586,0.882,0.023,0.120,0.990
1554161574596,2019-04-01T16.32.54.596,0.892,0.021,0.120,0.990
1554161574606,2019-04-01T16.32.54.606,0.902,0.021,0.121,0.992
1554161574616,2019-04-01T16.32.54.616,0.912,0.022,0.121,0.991
1554161574625,2019-04-01T16.32.54.625,0.921,0.023,0.120,0.989
1554161574635,2019-04-01T16.32.54.635,0.931,0.020,0.118,0.988
1554161574646,2019-04-01T16.32.54.646,0.942,0.021,0.119,0.991
1554161574656,2019-04-01T16.32.54.656,0.952,0.024,0.120,0.991
1554161574666,2019-04-01T16.32.54.666,0.962,0.020,0.121,0.991
1554161574677,2019-04-01T16.32.54.677,0.973,0.019,0.120,0.987
1554161574687,2019-04-01T16.32.54.687,0.983,0.021,0.120,0.990
1554161574696,2019-04-01T16.32.54.696,0.992,0.022,0.121,0.992
1554161574706,2019-04-01T16.32.54.706,1.002,0.022,0.120,0.991
1554161574716,2019-04-01T16.32.54.716,1.012,0.024,0.121,0.989
