epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1553890884716,2019-03-29T13.21.24.716,0.000,0.019,0.131,0.979
1553890884727,2019-03-29T13.21.24.727,0.011,0.020,0.131,0.984
1553890884737,2019-03-29T13.21.24.737,0.021,0.019,0.131,0.986
1553890884747,2019-03-29T13.21.24.747,0.031,0.019,0.132,0.986
1553890884757,2019-03-29T13.21.24.757,0.041,0.019,0.130,0.983
1553890884766,2019-03-29T13.21.24.766,0.050,0.018,0.131,0.984
1553890884776,2019-03-29T13.21.24.776,0.060,0.019,0.132,0.985
1553890884787,2019-03-29T13.21.24.787,0.071,0.017,0.131,0.984
1553890884797,2019-03-29T13.21.24.797,0.081,0.017,0.132,0.983
1553890884807,2019-03-29T13.21.24.807,0.091,0.017,0.131,0.983
1553890884818,2019-03-29T13.21.24.818,0.102,0.017,0.128,0.984
1553890884826,2019-03-29T13.21.24.826,0.110,0.019,0.129,0.984
1553890884837,2019-03-29T13.21.24.837,0.121,0.017,0.131,0.985
1553890884847,2019-03-29T13.21.24.847,0.131,0.018,0.131,0.982
1553890884857,2019-03-29T13.21.24.857,0.141,0.016,0.131,0.986
1553890884867,2019-03-29T13.21.24.867,0.151,0.018,0.131,0.983
1553890884878,2019-03-29T13.21.24.878,0.162,0.019,0.132,0.981
1553890884888,2019-03-29T13.21.24.888,0.172,0.021,0.131,0.985
1553890884897,2019-03-29T13.21.24.897,0.181,0.020,0.131,0.983
1553890884907,2019-03-29T13.21.24.907,0.191,0.016,0.129,0.985
1553890884917,2019-03-29T13.21.24.917,0.201,0.018,0.131,0.985
1553890884927,2019-03-29T13.21.24.927,0.211,0.017,0.131,0.983
1553890884938,2019-03-29T13.21.24.938,0.222,0.019,0.130,0.985
1553890884948,2019-03-29T13.21.24.948,0.232,0.020,0.131,0.981
1553890884958,2019-03-29T13.21.24.958,0.242,0.021,0.131,0.984
1553890884967,2019-03-29T13.21.24.967,0.251,0.021,0.130,0.984
1553890884977,2019-03-29T13.21.24.977,0.261,0.020,0.130,0.983
1553890884987,2019-03-29T13.21.24.987,0.271,0.017,0.131,0.982
1553890884998,2019-03-29T13.21.24.998,0.282,0.020,0.129,0.981
1553890885008,2019-03-29T13.21.25.008,0.292,0.021,0.130,0.987
1553890885018,2019-03-29T13.21.25.018,0.302,0.018,0.131,0.984
