time,x Accel,y Accel,z Accel,x Vel,y Vel,x Dis,y Dis
0.0,0.4327646308077768,0.002060178373733554,0.0,0.0,0.0,0.0,0.0
0.0,0.4321835208408811,0.00044236915083989414,0.0,0.0,0.0,0.0,0.0
0.0,0.4316540803164237,-0.0009666349586537198,0.0,0.0,0.0,0.0,0.0
0.0,0.43120347634328154,-0.0021358172244202167,0.0,0.0,0.0,0.0,0.0
0.0,0.4308556982261191,-0.0030366672763481733,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.43062912909609513,-0.0036449691669385997,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.43053471797701637,-0.003942936930379989,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.43057558182262046,-0.003920997146496644,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.4307480712958705,-0.003578591712012885,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.43104368175879304,-0.0029239817611978886,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.4314513645513381,-0.0019729785986986187,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.4319600165734751,-0.0007462350413881408,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.4325607235954196,0.0007342412187171243,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.4332481744648235,0.002447444593610751,0.0,0.04307424136611071,-0.0003340818221643387,0.004307424136611071,-3.340818221643387e-05
0.1,0.4340206582934097,0.004373418488917716,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.4348785856921664,0.006491898871628127,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.43582243935622617,0.00878131690391179,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.4368512223713027,0.011218884393472767,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.4379617455348204,0.013781254331980908,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.4391487241231798,0.016445140056152024,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.44040576348876476,0.0191880283949544,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.4417270014066703,0.021989399130626835,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.4431084876671625,0.0248320617774917,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.44454832202685357,0.027702765493610143,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.4460454865284998,0.03059197465081301,0.0,0.08651920356538952,0.00020918404586295342,0.012959344493150022,-1.248977763013853e-05
0.2,0.447598213195987,0.03349328593093881,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.44920266870833964,0.036402725131118696,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.45085212935264546,0.03931789948295303,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.4525366317540674,0.04223700088767823,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.45424330271242874,0.04515789275534682,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.45595749256930107,0.04807772576193503,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.45766436191765303,0.05099325087065834,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.4593501956972381,0.0539015874794769,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.46100288690669894,0.05680103146245727,0.0,0.13135924766060583,0.003703984598965828,0.0260952692592106,0.0003579086822664442
0.3,0.46261165034988433,0.05969141365280639,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.4641664520880205,0.06257381599654632,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.46565763523008696,0.06544998172544297,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.46707601489699874,0.06832180032437146,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.4684133887146855,0.07119087706742813,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.46966317173218847,0.0740581325849452,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.4708208991998117,0.07692369943103775,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.47188440481683186,0.07978731342056589,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
0.4,0.47285343244391775,0.08264878425048561,0.0,0.1776981527825011,0.009817246081433466,0.04386508453746071,0.001339633290409791
