epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1550084838098,2019-02-13T12:07:18.098,0.000,0.196,0.097,0.984
1550084838098,2019-02-13T12:07:18.098,0.000,0.207,0.089,0.982
1550084838099,2019-02-13T12:07:18.099,0.001,0.212,0.087,0.981
1550084838101,2019-02-13T12:07:18.101,0.003,0.212,0.092,0.978
1550084838102,2019-02-13T12:07:18.102,0.004,0.210,0.088,0.982
1550084838103,2019-02-13T12:07:18.103,0.005,0.213,0.090,0.981
1550084838105,2019-02-13T12:07:18.105,0.007,0.209,0.096,0.977
1550084838106,2019-02-13T12:07:18.106,0.008,0.214,0.094,0.982
1550084838106,2019-02-13T12:07:18.106,0.008,0.202,0.090,0.988
1550084838108,2019-02-13T12:07:18.108,0.010,0.208,0.093,0.984
1550084838109,2019-02-13T12:07:18.109,0.011,0.205,0.100,0.985
1550084838111,2019-02-13T12:07:18.111,0.013,0.201,0.088,0.981
1550084838112,2019-02-13T12:07:18.112,0.014,0.206,0.087,0.981
1550084838114,2019-02-13T12:07:18.114,0.016,0.202,0.089,0.986
1550084838115,2019-02-13T12:07:18.115,0.017,0.201,0.094,0.979
1550084838115,2019-02-13T12:07:18.115,0.017,0.202,0.090,0.979
1550084838117,2019-02-13T12:07:18.117,0.019,0.202,0.091,0.978
1550084838118,2019-02-13T12:07:18.118,0.020,0.201,0.094,0.979
1550084838120,2019-02-13T12:07:18.120,0.022,0.198,0.096,0.978
1550084838121,2019-02-13T12:07:18.121,0.023,0.193,0.094,0.981
1550084838123,2019-02-13T12:07:18.123,0.025,0.196,0.093,0.987
1550084838124,2019-02-13T12:07:18.124,0.026,0.199,0.095,0.976
1550084838124,2019-02-13T12:07:18.124,0.026,0.198,0.091,0.980
1550084838125,2019-02-13T12:07:18.125,0.027,0.201,0.092,0.983
1550084838127,2019-02-13T12:07:18.127,0.029,0.193,0.093,0.985
1550084838128,2019-02-13T12:07:18.128,0.030,0.199,0.093,0.988
1550084838130,2019-02-13T12:07:18.130,0.032,0.199,0.091,0.988
1550084838131,2019-02-13T12:07:18.131,0.033,0.198,0.092,0.984
1550084838133,2019-02-13T12:07:18.133,0.035,0.201,0.091,0.984
1550084838133,2019-02-13T12:07:18.133,0.035,0.198,0.095,0.978
1550084838134,2019-02-13T12:07:18.134,0.036,0.206,0.092,0.982
1550084838136,2019-02-13T12:07:18.136,0.038,0.198,0.094,0.988
1550084838137,2019-02-13T12:07:18.137,0.039,0.191,0.093,0.977
1550084838139,2019-02-13T12:07:18.139,0.041,0.197,0.091,0.982
1550084838140,2019-02-13T12:07:18.140,0.042,0.199,0.096,0.979
1550084838142,2019-02-13T12:07:18.142,0.044,0.200,0.096,0.983
1550084838142,2019-02-13T12:07:18.142,0.044,0.198,0.092,0.984
1550084838143,2019-02-13T12:07:18.143,0.045,0.198,0.089,0.979
1550084838144,2019-02-13T12:07:18.144,0.046,0.195,0.088,0.973
1550084838146,2019-02-13T12:07:18.146,0.048,0.191,0.089,0.981
1550084838147,2019-02-13T12:07:18.147,0.049,0.194,0.088,0.978
1550084838149,2019-02-13T12:07:18.149,0.051,0.191,0.086,0.979
1550084838149,2019-02-13T12:07:18.149,0.051,0.191,0.092,0.977
1550084838150,2019-02-13T12:07:18.150,0.052,0.197,0.087,0.977
1550084838152,2019-02-13T12:07:18.152,0.054,0.196,0.087,0.975
1550084838153,2019-02-13T12:07:18.153,0.055,0.196,0.089,0.972
1550084838155,2019-02-13T12:07:18.155,0.057,0.199,0.089,0.979
1550084838156,2019-02-13T12:07:18.156,0.058,0.196,0.089,0.972
1550084838158,2019-02-13T12:07:18.158,0.060,0.198,0.089,0.972
1550084838158,2019-02-13T12:07:18.158,0.060,0.197,0.085,0.974
1550084838159,2019-02-13T12:07:18.159,0.061,0.201,0.089,0.974
1550084838161,2019-02-13T12:07:18.161,0.063,0.201,0.089,0.973
1550084838162,2019-02-13T12:07:18.162,0.064,0.203,0.087,0.973
1550084838164,2019-02-13T12:07:18.164,0.066,0.207,0.085,0.966
1550084838165,2019-02-13T12:07:18.165,0.067,0.203,0.088,0.964
1550084838166,2019-02-13T12:07:18.166,0.068,0.201,0.087,0.968
1550084838166,2019-02-13T12:07:18.166,0.068,0.203,0.090,0.970
1550084838168,2019-02-13T12:07:18.168,0.070,0.206,0.089,0.968
1550084838169,2019-02-13T12:07:18.169,0.071,0.203,0.086,0.965
1550084838171,2019-02-13T12:07:18.171,0.073,0.212,0.083,0.958
1550084838172,2019-02-13T12:07:18.172,0.074,0.205,0.088,0.958
1550084838174,2019-02-13T12:07:18.174,0.076,0.206,0.089,0.963
1550084838175,2019-02-13T12:07:18.175,0.077,0.199,0.088,0.959
1550084838175,2019-02-13T12:07:18.175,0.077,0.202,0.090,0.959
1550084838177,2019-02-13T12:07:18.177,0.079,0.203,0.087,0.958
1550084838178,2019-02-13T12:07:18.178,0.080,0.208,0.090,0.958
1550084838180,2019-02-13T12:07:18.180,0.082,0.203,0.089,0.960
