epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.55E+12,2019-02-13T12:07:18.098,0,0,0,0
1.55E+12,2019-02-13T12:07:18.098,0,0,0,0
1.55E+12,2019-02-13T12:07:18.099,0.001,0,0,0
1.55E+12,2019-02-13T12:07:18.101,0.003,0,0,0
1.55E+12,2019-02-13T12:07:18.102,0.004,0,0,0
1.55E+12,2019-02-13T12:07:18.103,0.005,0,0,0
1.55E+12,2019-02-13T12:07:18.105,0.007,0,0,0
1.55E+12,2019-02-13T12:07:18.106,0.008,0,0,0
1.55E+12,2019-02-13T12:07:18.106,0.008,0,0,0
1.55E+12,2019-02-13T12:07:18.108,0.01,0,0,0
1.55E+12,2019-02-13T12:07:18.109,0.011,0,0,0
1.55E+12,2019-02-13T12:07:18.111,0.013,0,0,0
1.55E+12,2019-02-13T12:07:18.112,0.014,0,0,0
1.55E+12,2019-02-13T12:07:18.114,0.016,0,0,0
1.55E+12,2019-02-13T12:07:18.115,0.017,0,0,0
1.55E+12,2019-02-13T12:07:18.115,0.017,0,0,0
1.55E+12,2019-02-13T12:07:18.117,0.019,0,0,0
1.55E+12,2019-02-13T12:07:18.118,0.02,0,0,0
1.55E+12,2019-02-13T12:07:18.120,0.022,0,0,0
1.55E+12,2019-02-13T12:07:18.121,0.023,0,0,0
1.55E+12,2019-02-13T12:07:18.123,0.025,0,0,0
1.55E+12,2019-02-13T12:07:18.124,0.026,0,0,0
1.55E+12,2019-02-13T12:07:18.124,0.026,0,0,0
1.55E+12,2019-02-13T12:07:18.125,0.027,0,0,0
1.55E+12,2019-02-13T12:07:18.127,0.029,0,0,0
1.55E+12,2019-02-13T12:07:18.128,0.03,0,0,0
1.55E+12,2019-02-13T12:07:18.130,0.032,0,0,0
1.55E+12,2019-02-13T12:07:18.131,0.033,0,0,0
1.55E+12,2019-02-13T12:07:18.133,0.035,0,0,0
1.55E+12,2019-02-13T12:07:18.133,0.035,0,0,0
1.55E+12,2019-02-13T12:07:18.134,0.036,0,0,0
1.55E+12,2019-02-13T12:07:18.136,0.038,0,0,0
1.55E+12,2019-02-13T12:07:18.137,0.039,0,0,0
1.55E+12,2019-02-13T12:07:18.139,0.041,0,0,0
1.55E+12,2019-02-13T12:07:18.140,0.042,0,0,0
1.55E+12,2019-02-13T12:07:18.142,0.044,0,0,0
1.55E+12,2019-02-13T12:07:18.142,0.044,0,0,0
1.55E+12,2019-02-13T12:07:18.143,0.045,0,0,0
1.55E+12,2019-02-13T12:07:18.144,0.046,0,0,0
1.55E+12,2019-02-13T12:07:18.146,0.048,0,0,0
1.55E+12,2019-02-13T12:07:18.147,0.049,0,0,0
1.55E+12,2019-02-13T12:07:18.149,0.051,0,0,0
1.55E+12,2019-02-13T12:07:18.149,0.051,0,0,0
1.55E+12,2019-02-13T12:07:18.150,0.052,0,0,0
1.55E+12,2019-02-13T12:07:18.152,0.054,0,0,0
1.55E+12,2019-02-13T12:07:18.153,0.055,0,0,0
1.55E+12,2019-02-13T12:07:18.155,0.057,0,0,0
1.55E+12,2019-02-13T12:07:18.156,0.058,0,0,0
1.55E+12,2019-02-13T12:07:18.158,0.06,0,0,0
1.55E+12,2019-02-13T12:07:18.158,0.06,0,0,0
1.55E+12,2019-02-13T12:07:18.159,0.061,0,0,0
