epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1550086478305,2019-02-13T12:34:38.305,0.000,0.415,0.079,0.867
1550086478307,2019-02-13T12:34:38.307,0.002,0.420,0.072,0.867
1550086478307,2019-02-13T12:34:38.307,0.002,0.419,0.077,0.874
1550086478308,2019-02-13T12:34:38.308,0.003,0.421,0.081,0.868
1550086478309,2019-02-13T12:34:38.309,0.004,0.418,0.078,0.873
1550086478311,2019-02-13T12:34:38.311,0.006,0.415,0.081,0.871
1550086478312,2019-02-13T12:34:38.312,0.007,0.416,0.084,0.869
1550086478314,2019-02-13T12:34:38.314,0.009,0.421,0.088,0.878
1550086478315,2019-02-13T12:34:38.315,0.010,0.421,0.091,0.874
1550086478315,2019-02-13T12:34:38.315,0.010,0.419,0.086,0.882
1550086478317,2019-02-13T12:34:38.317,0.012,0.417,0.083,0.882
1550086478318,2019-02-13T12:34:38.318,0.013,0.416,0.085,0.882
1550086478320,2019-02-13T12:34:38.320,0.015,0.415,0.089,0.885
1550086478321,2019-02-13T12:34:38.321,0.016,0.418,0.083,0.889
1550086478323,2019-02-13T12:34:38.323,0.018,0.416,0.085,0.887
1550086478324,2019-02-13T12:34:38.324,0.019,0.412,0.086,0.885
1550086478324,2019-02-13T12:34:38.324,0.019,0.416,0.089,0.886
1550086478326,2019-02-13T12:34:38.326,0.021,0.415,0.085,0.896
1550086478327,2019-02-13T12:34:38.327,0.022,0.419,0.089,0.898
1550086478329,2019-02-13T12:34:38.329,0.024,0.414,0.094,0.901
1550086478330,2019-02-13T12:34:38.330,0.025,0.416,0.095,0.904
1550086478331,2019-02-13T12:34:38.331,0.026,0.421,0.093,0.901
1550086478333,2019-02-13T12:34:38.333,0.028,0.411,0.093,0.906
1550086478333,2019-02-13T12:34:38.333,0.028,0.413,0.094,0.914
1550086478334,2019-02-13T12:34:38.334,0.029,0.417,0.092,0.905
1550086478336,2019-02-13T12:34:38.336,0.031,0.421,0.097,0.916
1550086478337,2019-02-13T12:34:38.337,0.032,0.422,0.098,0.913
1550086478339,2019-02-13T12:34:38.339,0.034,0.418,0.094,0.905
1550086478340,2019-02-13T12:34:38.340,0.035,0.417,0.096,0.913
1550086478342,2019-02-13T12:34:38.342,0.037,0.416,0.094,0.916
1550086478342,2019-02-13T12:34:38.342,0.037,0.420,0.093,0.919
1550086478343,2019-02-13T12:34:38.343,0.038,0.422,0.099,0.921
1550086478345,2019-02-13T12:34:38.345,0.040,0.419,0.100,0.922
1550086478346,2019-02-13T12:34:38.346,0.041,0.429,0.100,0.925
1550086478348,2019-02-13T12:34:38.348,0.043,0.426,0.099,0.928
1550086478349,2019-02-13T12:34:38.349,0.044,0.423,0.099,0.934
1550086478350,2019-02-13T12:34:38.350,0.045,0.424,0.101,0.934
1550086478350,2019-02-13T12:34:38.350,0.045,0.427,0.098,0.937
1550086478352,2019-02-13T12:34:38.352,0.047,0.424,0.099,0.938
1550086478353,2019-02-13T12:34:38.353,0.048,0.425,0.098,0.938
1550086478355,2019-02-13T12:34:38.355,0.050,0.425,0.099,0.946
1550086478356,2019-02-13T12:34:38.356,0.051,0.425,0.101,0.946
1550086478358,2019-02-13T12:34:38.358,0.053,0.427,0.101,0.941
1550086478358,2019-02-13T12:34:38.358,0.053,0.430,0.107,0.953
1550086478359,2019-02-13T12:34:38.359,0.054,0.426,0.107,0.953
1550086478361,2019-02-13T12:34:38.361,0.056,0.423,0.101,0.952
1550086478362,2019-02-13T12:34:38.362,0.057,0.427,0.100,0.954
1550086478364,2019-02-13T12:34:38.364,0.059,0.433,0.107,0.959
1550086478365,2019-02-13T12:34:38.365,0.060,0.428,0.108,0.956
1550086478367,2019-02-13T12:34:38.367,0.062,0.426,0.110,0.958
1550086478367,2019-02-13T12:34:38.367,0.062,0.427,0.109,0.960
1550086478368,2019-02-13T12:34:38.368,0.063,0.427,0.109,0.966
1550086478370,2019-02-13T12:34:38.370,0.065,0.425,0.109,0.967
1550086478371,2019-02-13T12:34:38.371,0.066,0.425,0.109,0.967
1550086478372,2019-02-13T12:34:38.372,0.067,0.427,0.109,0.975
1550086478374,2019-02-13T12:34:38.374,0.069,0.425,0.111,0.971
1550086478375,2019-02-13T12:34:38.375,0.070,0.431,0.111,0.974
1550086478375,2019-02-13T12:34:38.375,0.070,0.427,0.116,0.980
1550086478377,2019-02-13T12:34:38.377,0.072,0.426,0.115,0.980
1550086478378,2019-02-13T12:34:38.378,0.073,0.430,0.115,0.982
1550086478380,2019-02-13T12:34:38.380,0.075,0.427,0.114,0.978
1550086478381,2019-02-13T12:34:38.381,0.076,0.428,0.109,0.984
1550086478383,2019-02-13T12:34:38.383,0.078,0.426,0.118,0.986
1550086478384,2019-02-13T12:34:38.384,0.079,0.426,0.120,0.986
1550086478384,2019-02-13T12:34:38.384,0.079,0.424,0.112,0.986
1550086478386,2019-02-13T12:34:38.386,0.081,0.426,0.115,0.984
1550086478387,2019-02-13T12:34:38.387,0.082,0.422,0.118,0.992
1550086478389,2019-02-13T12:34:38.389,0.084,0.427,0.119,0.990
1550086478390,2019-02-13T12:34:38.390,0.085,0.420,0.118,0.995
1550086478392,2019-02-13T12:34:38.392,0.087,0.417,0.120,0.994
1550086478393,2019-02-13T12:34:38.393,0.088,0.423,0.121,1.000
1550086478393,2019-02-13T12:34:38.393,0.088,0.421,0.120,1.007
1550086478394,2019-02-13T12:34:38.394,0.089,0.422,0.121,1.002
1550086478396,2019-02-13T12:34:38.396,0.091,0.424,0.120,1.000
1550086478397,2019-02-13T12:34:38.397,0.092,0.421,0.117,1.005
1550086478399,2019-02-13T12:34:38.399,0.094,0.424,0.118,0.999
1550086478400,2019-02-13T12:34:38.400,0.095,0.418,0.120,1.000
1550086478402,2019-02-13T12:34:38.402,0.097,0.419,0.118,1.000
1550086478402,2019-02-13T12:34:38.402,0.097,0.419,0.122,1.002
1550086478403,2019-02-13T12:34:38.403,0.098,0.419,0.119,1.009
1550086478405,2019-02-13T12:34:38.405,0.100,0.419,0.118,1.007
1550086478406,2019-02-13T12:34:38.406,0.101,0.430,0.121,1.002
1550086478408,2019-02-13T12:34:38.408,0.103,0.420,0.115,0.997
1550086478409,2019-02-13T12:34:38.409,0.104,0.423,0.118,1.007
1550086478411,2019-02-13T12:34:38.411,0.106,0.424,0.123,1.012
1550086478411,2019-02-13T12:34:38.411,0.106,0.424,0.119,1.015
1550086478412,2019-02-13T12:34:38.412,0.107,0.416,0.120,1.011
1550086478413,2019-02-13T12:34:38.413,0.108,0.420,0.119,1.018
1550086478415,2019-02-13T12:34:38.415,0.110,0.420,0.121,1.014
1550086478416,2019-02-13T12:34:38.416,0.111,0.423,0.121,1.015
1550086478418,2019-02-13T12:34:38.418,0.113,0.424,0.121,1.014
1550086478419,2019-02-13T12:34:38.419,0.114,0.420,0.114,1.012
1550086478419,2019-02-13T12:34:38.419,0.114,0.427,0.118,1.016
1550086478421,2019-02-13T12:34:38.421,0.116,0.425,0.117,1.012
1550086478422,2019-02-13T12:34:38.422,0.117,0.430,0.116,1.011
1550086478424,2019-02-13T12:34:38.424,0.119,0.428,0.120,1.021
1550086478425,2019-02-13T12:34:38.425,0.120,0.425,0.118,1.015
1550086478427,2019-02-13T12:34:38.427,0.122,0.430,0.114,1.017
1550086478427,2019-02-13T12:34:38.427,0.122,0.428,0.119,1.015
