epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1550086623209,2019-02-13T12:37:03.209,0.000,0.130,0.095,0.962
1550086623210,2019-02-13T12:37:03.210,0.001,0.131,0.095,0.964
1550086623212,2019-02-13T12:37:03.212,0.003,0.128,0.100,0.961
1550086623213,2019-02-13T12:37:03.213,0.004,0.129,0.100,0.962
1550086623215,2019-02-13T12:37:03.215,0.006,0.130,0.099,0.968
1550086623216,2019-02-13T12:37:03.216,0.007,0.125,0.102,0.970
1550086623218,2019-02-13T12:37:03.218,0.009,0.126,0.099,0.966
1550086623219,2019-02-13T12:37:03.219,0.010,0.129,0.101,0.971
1550086623219,2019-02-13T12:37:03.219,0.010,0.123,0.099,0.974
1550086623221,2019-02-13T12:37:03.221,0.012,0.127,0.100,0.968
1550086623222,2019-02-13T12:37:03.222,0.013,0.124,0.103,0.970
1550086623224,2019-02-13T12:37:03.224,0.015,0.125,0.102,0.970
1550086623225,2019-02-13T12:37:03.225,0.016,0.125,0.097,0.971
1550086623227,2019-02-13T12:37:03.227,0.018,0.127,0.100,0.977
1550086623227,2019-02-13T12:37:03.227,0.018,0.127,0.100,0.980
1550086623228,2019-02-13T12:37:03.228,0.019,0.123,0.099,0.977
1550086623229,2019-02-13T12:37:03.229,0.020,0.124,0.102,0.982
1550086623231,2019-02-13T12:37:03.231,0.022,0.128,0.099,0.986
1550086623232,2019-02-13T12:37:03.232,0.023,0.127,0.100,0.984
1550086623234,2019-02-13T12:37:03.234,0.025,0.121,0.102,0.987
1550086623234,2019-02-13T12:37:03.234,0.025,0.125,0.095,0.985
1550086623235,2019-02-13T12:37:03.235,0.026,0.123,0.097,0.992
1550086623237,2019-02-13T12:37:03.237,0.028,0.130,0.101,0.990
1550086623238,2019-02-13T12:37:03.238,0.029,0.128,0.104,0.981
1550086623240,2019-02-13T12:37:03.240,0.031,0.129,0.102,0.990
1550086623241,2019-02-13T12:37:03.241,0.032,0.125,0.098,0.995
1550086623243,2019-02-13T12:37:03.243,0.034,0.129,0.098,0.993
1550086623243,2019-02-13T12:37:03.243,0.034,0.123,0.095,0.998
1550086623244,2019-02-13T12:37:03.244,0.035,0.126,0.096,0.997
1550086623246,2019-02-13T12:37:03.246,0.037,0.128,0.097,0.998
1550086623247,2019-02-13T12:37:03.247,0.038,0.127,0.090,1.001
1550086623248,2019-02-13T12:37:03.248,0.039,0.124,0.095,1.004
1550086623250,2019-02-13T12:37:03.250,0.041,0.119,0.092,1.003
1550086623251,2019-02-13T12:37:03.251,0.042,0.128,0.091,1.003
1550086623251,2019-02-13T12:37:03.251,0.042,0.130,0.094,1.004
1550086623254,2019-02-13T12:37:03.254,0.045,0.131,0.092,1.012
1550086623254,2019-02-13T12:37:03.254,0.045,0.126,0.092,1.009
1550086623256,2019-02-13T12:37:03.256,0.047,0.124,0.096,1.009
1550086623257,2019-02-13T12:37:03.257,0.048,0.122,0.097,1.013
1550086623259,2019-02-13T12:37:03.259,0.050,0.126,0.091,1.016
1550086623260,2019-02-13T12:37:03.260,0.051,0.126,0.093,1.015
1550086623260,2019-02-13T12:37:03.260,0.051,0.122,0.101,1.012
1550086623262,2019-02-13T12:37:03.262,0.053,0.123,0.106,1.015
1550086623263,2019-02-13T12:37:03.263,0.054,0.132,0.098,1.015
1550086623265,2019-02-13T12:37:03.265,0.056,0.126,0.096,1.011
1550086623266,2019-02-13T12:37:03.266,0.057,0.133,0.099,1.015
1550086623268,2019-02-13T12:37:03.268,0.059,0.127,0.102,1.020
1550086623269,2019-02-13T12:37:03.269,0.060,0.125,0.103,1.022
1550086623269,2019-02-13T12:37:03.269,0.060,0.122,0.099,1.021
1550086623270,2019-02-13T12:37:03.270,0.061,0.125,0.102,1.020
1550086623272,2019-02-13T12:37:03.272,0.063,0.133,0.101,1.020
1550086623273,2019-02-13T12:37:03.273,0.064,0.131,0.102,1.024
1550086623275,2019-02-13T12:37:03.275,0.066,0.130,0.099,1.018
1550086623276,2019-02-13T12:37:03.276,0.067,0.126,0.099,1.026
1550086623278,2019-02-13T12:37:03.278,0.069,0.127,0.103,1.029
1550086623278,2019-02-13T12:37:03.278,0.069,0.132,0.103,1.031
1550086623279,2019-02-13T12:37:03.279,0.070,0.126,0.101,1.028
1550086623281,2019-02-13T12:37:03.281,0.072,0.127,0.099,1.032
1550086623282,2019-02-13T12:37:03.282,0.073,0.131,0.100,1.032
1550086623284,2019-02-13T12:37:03.284,0.075,0.129,0.100,1.027
1550086623285,2019-02-13T12:37:03.285,0.076,0.127,0.097,1.025
1550086623287,2019-02-13T12:37:03.287,0.078,0.138,0.102,1.031
1550086623287,2019-02-13T12:37:03.287,0.078,0.131,0.108,1.036
1550086623288,2019-02-13T12:37:03.288,0.079,0.131,0.103,1.026
1550086623289,2019-02-13T12:37:03.289,0.080,0.125,0.102,1.033
1550086623291,2019-02-13T12:37:03.291,0.082,0.129,0.096,1.029
1550086623292,2019-02-13T12:37:03.292,0.083,0.126,0.095,1.028
1550086623294,2019-02-13T12:37:03.294,0.085,0.120,0.099,1.032
1550086623295,2019-02-13T12:37:03.295,0.086,0.123,0.099,1.030
1550086623297,2019-02-13T12:37:03.297,0.088,0.125,0.099,1.030
1550086623297,2019-02-13T12:37:03.297,0.088,0.123,0.093,1.033
1550086623298,2019-02-13T12:37:03.298,0.089,0.124,0.099,1.038
1550086623300,2019-02-13T12:37:03.300,0.091,0.125,0.102,1.035
1550086623301,2019-02-13T12:37:03.301,0.092,0.120,0.096,1.035
1550086623303,2019-02-13T12:37:03.303,0.094,0.120,0.107,1.032
1550086623303,2019-02-13T12:37:03.303,0.094,0.120,0.101,1.035
1550086623304,2019-02-13T12:37:03.304,0.095,0.124,0.096,1.038
1550086623306,2019-02-13T12:37:03.306,0.097,0.124,0.098,1.035
1550086623307,2019-02-13T12:37:03.307,0.098,0.123,0.101,1.039
1550086623309,2019-02-13T12:37:03.309,0.100,0.118,0.095,1.046
1550086623310,2019-02-13T12:37:03.310,0.101,0.118,0.095,1.033
1550086623311,2019-02-13T12:37:03.311,0.102,0.125,0.092,1.042
1550086623311,2019-02-13T12:37:03.311,0.102,0.125,0.089,1.039
1550086623313,2019-02-13T12:37:03.313,0.104,0.124,0.083,1.041
1550086623314,2019-02-13T12:37:03.314,0.105,0.123,0.087,1.035
1550086623316,2019-02-13T12:37:03.316,0.107,0.128,0.087,1.047
1550086623317,2019-02-13T12:37:03.317,0.108,0.126,0.082,1.042
1550086623319,2019-02-13T12:37:03.319,0.110,0.129,0.087,1.039
1550086623320,2019-02-13T12:37:03.320,0.111,0.128,0.091,1.037
1550086623320,2019-02-13T12:37:03.320,0.111,0.131,0.094,1.045
1550086623322,2019-02-13T12:37:03.322,0.113,0.129,0.092,1.041
1550086623323,2019-02-13T12:37:03.323,0.114,0.133,0.089,1.048
1550086623325,2019-02-13T12:37:03.325,0.116,0.137,0.090,1.039
1550086623326,2019-02-13T12:37:03.326,0.117,0.137,0.085,1.048
1550086623328,2019-02-13T12:37:03.328,0.119,0.134,0.086,1.043
1550086623329,2019-02-13T12:37:03.329,0.120,0.138,0.094,1.043
1550086623331,2019-02-13T12:37:03.331,0.122,0.137,0.092,1.041
1550086623331,2019-02-13T12:37:03.331,0.122,0.140,0.091,1.041
1550086623332,2019-02-13T12:37:03.332,0.123,0.140,0.090,1.041
1550086623333,2019-02-13T12:37:03.333,0.124,0.144,0.090,1.040
1550086623335,2019-02-13T12:37:03.335,0.126,0.143,0.093,1.045
1550086623336,2019-02-13T12:37:03.336,0.127,0.145,0.095,1.038
1550086623338,2019-02-13T12:37:03.338,0.129,0.145,0.096,1.048
1550086623338,2019-02-13T12:37:03.338,0.129,0.150,0.095,1.050
1550086623339,2019-02-13T12:37:03.339,0.130,0.146,0.094,1.046
1550086623341,2019-02-13T12:37:03.341,0.132,0.145,0.096,1.046
1550086623342,2019-02-13T12:37:03.342,0.133,0.146,0.094,1.051
1550086623344,2019-02-13T12:37:03.344,0.135,0.148,0.092,1.043
1550086623345,2019-02-13T12:37:03.345,0.136,0.147,0.102,1.045
1550086623347,2019-02-13T12:37:03.347,0.138,0.145,0.098,1.047
1550086623347,2019-02-13T12:37:03.347,0.138,0.146,0.095,1.046
1550086623348,2019-02-13T12:37:03.348,0.139,0.153,0.097,1.041
1550086623350,2019-02-13T12:37:03.350,0.141,0.149,0.091,1.042
1550086623351,2019-02-13T12:37:03.351,0.142,0.154,0.092,1.042
1550086623352,2019-02-13T12:37:03.352,0.143,0.153,0.096,1.038
1550086623354,2019-02-13T12:37:03.354,0.145,0.151,0.090,1.046
1550086623355,2019-02-13T12:37:03.355,0.146,0.154,0.088,1.046
1550086623355,2019-02-13T12:37:03.355,0.146,0.159,0.089,1.037
1550086623357,2019-02-13T12:37:03.357,0.148,0.154,0.087,1.036
1550086623358,2019-02-13T12:37:03.358,0.149,0.158,0.087,1.038
1550086623360,2019-02-13T12:37:03.360,0.151,0.157,0.091,1.032
1550086623361,2019-02-13T12:37:03.361,0.152,0.153,0.095,1.031
1550086623363,2019-02-13T12:37:03.363,0.154,0.156,0.088,1.033
1550086623364,2019-02-13T12:37:03.364,0.155,0.155,0.092,1.033
1550086623364,2019-02-13T12:37:03.364,0.155,0.154,0.089,1.036
1550086623366,2019-02-13T12:37:03.366,0.157,0.156,0.094,1.027
1550086623367,2019-02-13T12:37:03.367,0.158,0.153,0.086,1.026
1550086623369,2019-02-13T12:37:03.369,0.160,0.158,0.090,1.030
1550086623370,2019-02-13T12:37:03.370,0.161,0.159,0.096,1.022
1550086623372,2019-02-13T12:37:03.372,0.163,0.161,0.093,1.027
1550086623373,2019-02-13T12:37:03.373,0.164,0.160,0.095,1.026
1550086623373,2019-02-13T12:37:03.373,0.164,0.157,0.089,1.020
1550086623374,2019-02-13T12:37:03.374,0.165,0.158,0.091,1.019
1550086623376,2019-02-13T12:37:03.376,0.167,0.158,0.090,1.016
1550086623377,2019-02-13T12:37:03.377,0.168,0.160,0.098,1.011
1550086623379,2019-02-13T12:37:03.379,0.170,0.158,0.097,1.016
1550086623380,2019-02-13T12:37:03.380,0.171,0.160,0.096,1.016
1550086623380,2019-02-13T12:37:03.380,0.171,0.162,0.096,1.013
1550086623382,2019-02-13T12:37:03.382,0.173,0.163,0.096,1.009
1550086623383,2019-02-13T12:37:03.383,0.174,0.167,0.093,1.010
1550086623385,2019-02-13T12:37:03.385,0.176,0.166,0.096,1.007
1550086623386,2019-02-13T12:37:03.386,0.177,0.170,0.091,1.004
1550086623388,2019-02-13T12:37:03.388,0.179,0.172,0.092,1.009
