epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1550085147698,2019-02-13T12:12:27.698,0.000,0.639,0.028,0.746
1550085147698,2019-02-13T12:12:27.698,0.000,0.635,0.036,0.742
1550085147699,2019-02-13T12:12:27.699,0.001,0.636,0.034,0.745
1550085147701,2019-02-13T12:12:27.701,0.003,0.637,0.035,0.742
1550085147702,2019-02-13T12:12:27.702,0.004,0.638,0.036,0.745
1550085147704,2019-02-13T12:12:27.704,0.006,0.636,0.033,0.742
1550085147705,2019-02-13T12:12:27.705,0.007,0.647,0.033,0.746
1550085147707,2019-02-13T12:12:27.707,0.009,0.638,0.032,0.751
1550085147707,2019-02-13T12:12:27.707,0.009,0.637,0.031,0.744
1550085147708,2019-02-13T12:12:27.708,0.010,0.641,0.034,0.738
1550085147710,2019-02-13T12:12:27.710,0.012,0.641,0.035,0.733
1550085147711,2019-02-13T12:12:27.711,0.013,0.639,0.032,0.743
1550085147713,2019-02-13T12:12:27.713,0.015,0.641,0.029,0.738
1550085147714,2019-02-13T12:12:27.714,0.016,0.638,0.029,0.737
1550085147716,2019-02-13T12:12:27.716,0.018,0.640,0.032,0.736
1550085147716,2019-02-13T12:12:27.716,0.018,0.636,0.029,0.741
1550085147717,2019-02-13T12:12:27.717,0.019,0.637,0.028,0.738
1550085147719,2019-02-13T12:12:27.719,0.021,0.640,0.031,0.740
1550085147720,2019-02-13T12:12:27.720,0.022,0.639,0.027,0.737
1550085147721,2019-02-13T12:12:27.721,0.023,0.640,0.031,0.735
1550085147723,2019-02-13T12:12:27.723,0.025,0.646,0.027,0.740
1550085147724,2019-02-13T12:12:27.724,0.026,0.642,0.027,0.738
1550085147724,2019-02-13T12:12:27.724,0.026,0.644,0.030,0.734
1550085147726,2019-02-13T12:12:27.726,0.028,0.643,0.032,0.734
1550085147727,2019-02-13T12:12:27.727,0.029,0.648,0.028,0.738
1550085147729,2019-02-13T12:12:27.729,0.031,0.647,0.034,0.737
1550085147730,2019-02-13T12:12:27.730,0.032,0.652,0.031,0.743
1550085147732,2019-02-13T12:12:27.732,0.034,0.647,0.025,0.743
1550085147733,2019-02-13T12:12:27.733,0.035,0.650,0.030,0.730
1550085147733,2019-02-13T12:12:27.733,0.035,0.650,0.031,0.737
1550085147735,2019-02-13T12:12:27.735,0.037,0.648,0.029,0.736
1550085147736,2019-02-13T12:12:27.736,0.038,0.651,0.029,0.744
1550085147738,2019-02-13T12:12:27.738,0.040,0.652,0.031,0.749
1550085147739,2019-02-13T12:12:27.739,0.041,0.653,0.033,0.743
1550085147740,2019-02-13T12:12:27.740,0.042,0.652,0.030,0.744
1550085147742,2019-02-13T12:12:27.742,0.044,0.654,0.026,0.749
1550085147742,2019-02-13T12:12:27.742,0.044,0.656,0.029,0.750
1550085147743,2019-02-13T12:12:27.743,0.045,0.652,0.029,0.752
1550085147745,2019-02-13T12:12:27.745,0.047,0.653,0.028,0.751
1550085147746,2019-02-13T12:12:27.746,0.048,0.659,0.026,0.751
1550085147748,2019-02-13T12:12:27.748,0.050,0.650,0.025,0.751
1550085147749,2019-02-13T12:12:27.749,0.051,0.651,0.023,0.753
1550085147749,2019-02-13T12:12:27.749,0.051,0.649,0.025,0.755
1550085147751,2019-02-13T12:12:27.751,0.053,0.658,0.024,0.757
1550085147752,2019-02-13T12:12:27.752,0.054,0.657,0.026,0.756
1550085147754,2019-02-13T12:12:27.754,0.056,0.658,0.020,0.760
1550085147755,2019-02-13T12:12:27.755,0.057,0.652,0.026,0.761
1550085147757,2019-02-13T12:12:27.757,0.059,0.649,0.031,0.766
1550085147758,2019-02-13T12:12:27.758,0.060,0.653,0.031,0.773
1550085147758,2019-02-13T12:12:27.758,0.060,0.658,0.024,0.767
1550085147760,2019-02-13T12:12:27.760,0.062,0.656,0.024,0.765
1550085147761,2019-02-13T12:12:27.761,0.063,0.659,0.028,0.771
1550085147762,2019-02-13T12:12:27.762,0.064,0.655,0.026,0.773
1550085147764,2019-02-13T12:12:27.764,0.066,0.655,0.022,0.773
1550085147765,2019-02-13T12:12:27.765,0.067,0.654,0.028,0.780
1550085147767,2019-02-13T12:12:27.767,0.069,0.655,0.022,0.775
1550085147767,2019-02-13T12:12:27.767,0.069,0.656,0.028,0.775
1550085147768,2019-02-13T12:12:27.768,0.070,0.656,0.016,0.774
1550085147770,2019-02-13T12:12:27.770,0.072,0.651,0.025,0.776
1550085147771,2019-02-13T12:12:27.771,0.073,0.654,0.024,0.781
1550085147773,2019-02-13T12:12:27.773,0.075,0.656,0.018,0.781
1550085147774,2019-02-13T12:12:27.774,0.076,0.654,0.018,0.781
1550085147776,2019-02-13T12:12:27.776,0.078,0.652,0.022,0.785
1550085147776,2019-02-13T12:12:27.776,0.078,0.654,0.024,0.778
1550085147777,2019-02-13T12:12:27.777,0.079,0.654,0.024,0.781
1550085147779,2019-02-13T12:12:27.779,0.081,0.652,0.023,0.782
1550085147780,2019-02-13T12:12:27.780,0.082,0.644,0.025,0.781
1550085147782,2019-02-13T12:12:27.782,0.084,0.648,0.027,0.781
1550085147783,2019-02-13T12:12:27.783,0.085,0.650,0.024,0.782
1550085147784,2019-02-13T12:12:27.784,0.086,0.646,0.026,0.782
1550085147784,2019-02-13T12:12:27.784,0.086,0.651,0.025,0.783
1550085147786,2019-02-13T12:12:27.786,0.088,0.651,0.029,0.784
1550085147787,2019-02-13T12:12:27.787,0.089,0.646,0.031,0.778
1550085147789,2019-02-13T12:12:27.789,0.091,0.646,0.025,0.782
1550085147790,2019-02-13T12:12:27.790,0.092,0.646,0.027,0.780
1550085147792,2019-02-13T12:12:27.792,0.094,0.648,0.027,0.781
1550085147793,2019-02-13T12:12:27.793,0.095,0.647,0.026,0.776
1550085147793,2019-02-13T12:12:27.793,0.095,0.648,0.029,0.781
1550085147795,2019-02-13T12:12:27.795,0.097,0.651,0.025,0.776
1550085147796,2019-02-13T12:12:27.796,0.098,0.652,0.023,0.777
1550085147798,2019-02-13T12:12:27.798,0.100,0.649,0.023,0.775
1550085147799,2019-02-13T12:12:27.799,0.101,0.647,0.029,0.777
1550085147801,2019-02-13T12:12:27.801,0.103,0.651,0.023,0.779
1550085147801,2019-02-13T12:12:27.801,0.103,0.652,0.023,0.767
1550085147802,2019-02-13T12:12:27.802,0.104,0.650,0.025,0.773
1550085147803,2019-02-13T12:12:27.803,0.105,0.644,0.027,0.777
1550085147805,2019-02-13T12:12:27.805,0.107,0.640,0.026,0.776
1550085147806,2019-02-13T12:12:27.806,0.108,0.648,0.024,0.771
1550085147808,2019-02-13T12:12:27.808,0.110,0.648,0.026,0.766
1550085147809,2019-02-13T12:12:27.809,0.111,0.648,0.026,0.775
1550085147809,2019-02-13T12:12:27.809,0.111,0.655,0.021,0.774
1550085147811,2019-02-13T12:12:27.811,0.113,0.651,0.026,0.780
1550085147812,2019-02-13T12:12:27.812,0.114,0.654,0.027,0.773
1550085147814,2019-02-13T12:12:27.814,0.116,0.647,0.026,0.773
1550085147815,2019-02-13T12:12:27.815,0.117,0.650,0.024,0.771
1550085147817,2019-02-13T12:12:27.817,0.119,0.646,0.024,0.770
1550085147818,2019-02-13T12:12:27.818,0.120,0.649,0.022,0.766
1550085147818,2019-02-13T12:12:27.818,0.120,0.657,0.022,0.766
1550085147820,2019-02-13T12:12:27.820,0.122,0.657,0.022,0.766
1550085147821,2019-02-13T12:12:27.821,0.123,0.654,0.023,0.764
1550085147823,2019-02-13T12:12:27.823,0.125,0.657,0.025,0.768
1550085147824,2019-02-13T12:12:27.824,0.126,0.653,0.023,0.760
1550085147825,2019-02-13T12:12:27.825,0.127,0.661,0.022,0.762
1550085147827,2019-02-13T12:12:27.827,0.129,0.657,0.020,0.766
1550085147827,2019-02-13T12:12:27.827,0.129,0.662,0.024,0.761
1550085147828,2019-02-13T12:12:27.828,0.130,0.657,0.031,0.763
1550085147830,2019-02-13T12:12:27.830,0.132,0.665,0.020,0.762
1550085147831,2019-02-13T12:12:27.831,0.133,0.663,0.024,0.769
1550085147833,2019-02-13T12:12:27.833,0.135,0.661,0.023,0.759
1550085147834,2019-02-13T12:12:27.834,0.136,0.662,0.022,0.763
1550085147836,2019-02-13T12:12:27.836,0.138,0.656,0.019,0.757
1550085147836,2019-02-13T12:12:27.836,0.138,0.659,0.023,0.760
1550085147837,2019-02-13T12:12:27.837,0.139,0.660,0.025,0.757
1550085147839,2019-02-13T12:12:27.839,0.141,0.660,0.025,0.764
1550085147840,2019-02-13T12:12:27.840,0.142,0.662,0.025,0.758
1550085147842,2019-02-13T12:12:27.842,0.144,0.661,0.024,0.760
1550085147843,2019-02-13T12:12:27.843,0.145,0.660,0.023,0.757
1550085147844,2019-02-13T12:12:27.844,0.146,0.657,0.023,0.760
1550085147844,2019-02-13T12:12:27.844,0.146,0.654,0.026,0.755
1550085147846,2019-02-13T12:12:27.846,0.148,0.654,0.023,0.761
1550085147847,2019-02-13T12:12:27.847,0.149,0.663,0.026,0.756
1550085147849,2019-02-13T12:12:27.849,0.151,0.654,0.026,0.754
1550085147850,2019-02-13T12:12:27.850,0.152,0.658,0.022,0.755
1550085147852,2019-02-13T12:12:27.852,0.154,0.656,0.023,0.756
1550085147853,2019-02-13T12:12:27.853,0.155,0.657,0.025,0.751
