epoch (ms),time (-09:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1550086023918,2019-02-13T12:27:03.918,0.000,0.354,0.057,0.947
1550086023920,2019-02-13T12:27:03.920,0.002,0.354,0.060,0.936
1550086023921,2019-02-13T12:27:03.921,0.003,0.356,0.057,0.940
1550086023923,2019-02-13T12:27:03.923,0.005,0.357,0.057,0.932
1550086023924,2019-02-13T12:27:03.924,0.006,0.349,0.059,0.936
1550086023924,2019-02-13T12:27:03.924,0.006,0.352,0.057,0.937
1550086023926,2019-02-13T12:27:03.926,0.008,0.355,0.059,0.933
1550086023927,2019-02-13T12:27:03.927,0.009,0.352,0.060,0.936
1550086023928,2019-02-13T12:27:03.928,0.010,0.354,0.058,0.938
1550086023930,2019-02-13T12:27:03.930,0.012,0.356,0.052,0.935
1550086023931,2019-02-13T12:27:03.931,0.013,0.356,0.057,0.929
1550086023933,2019-02-13T12:27:03.933,0.015,0.354,0.062,0.934
1550086023933,2019-02-13T12:27:03.933,0.015,0.352,0.059,0.933
1550086023934,2019-02-13T12:27:03.934,0.016,0.357,0.057,0.938
1550086023936,2019-02-13T12:27:03.936,0.018,0.353,0.060,0.937
1550086023937,2019-02-13T12:27:03.937,0.019,0.353,0.056,0.928
1550086023939,2019-02-13T12:27:03.939,0.021,0.359,0.058,0.933
1550086023940,2019-02-13T12:27:03.940,0.022,0.350,0.060,0.937
1550086023940,2019-02-13T12:27:03.940,0.022,0.350,0.056,0.936
1550086023942,2019-02-13T12:27:03.942,0.024,0.354,0.062,0.933
1550086023943,2019-02-13T12:27:03.943,0.025,0.354,0.056,0.931
1550086023945,2019-02-13T12:27:03.945,0.027,0.355,0.056,0.931
1550086023946,2019-02-13T12:27:03.946,0.028,0.351,0.057,0.930
1550086023948,2019-02-13T12:27:03.948,0.030,0.359,0.060,0.936
1550086023949,2019-02-13T12:27:03.949,0.031,0.351,0.057,0.932
1550086023950,2019-02-13T12:27:03.950,0.032,0.354,0.058,0.927
1550086023950,2019-02-13T12:27:03.950,0.032,0.351,0.057,0.929
1550086023952,2019-02-13T12:27:03.952,0.034,0.354,0.057,0.937
1550086023953,2019-02-13T12:27:03.953,0.035,0.350,0.058,0.928
1550086023955,2019-02-13T12:27:03.955,0.037,0.350,0.061,0.932
1550086023956,2019-02-13T12:27:03.956,0.038,0.349,0.063,0.939
1550086023958,2019-02-13T12:27:03.958,0.040,0.352,0.059,0.930
1550086023958,2019-02-13T12:27:03.958,0.040,0.350,0.059,0.927
1550086023959,2019-02-13T12:27:03.959,0.041,0.354,0.055,0.925
1550086023961,2019-02-13T12:27:03.961,0.043,0.353,0.063,0.929
1550086023962,2019-02-13T12:27:03.962,0.044,0.351,0.061,0.933
1550086023964,2019-02-13T12:27:03.964,0.046,0.352,0.057,0.935
1550086023965,2019-02-13T12:27:03.965,0.047,0.349,0.058,0.930
1550086023967,2019-02-13T12:27:03.967,0.049,0.350,0.057,0.929
1550086023967,2019-02-13T12:27:03.967,0.049,0.348,0.060,0.935
1550086023968,2019-02-13T12:27:03.968,0.050,0.351,0.057,0.930
